context,target,generated_response,bleu-2,rouge-l
"User: Hi

Assistant: ","Hi there, how are you feeling? ","Hi, how are you today?",0.4484,0.5455
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ",It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? ,That is a difficult position to be in. Are you working full time or part time? ,0.2131,0.3529
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ",Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?,I see .. so you are really struggling at the moment? ,0.0157,0.129
"User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ",Are there any organisations that you could just call and explain your predicament to?,Do you have any family or friends that might be able to help you?,0.0406,0.1429
"User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: ","Do you have friends who could help you, even with child care? ",I am sorry to hear that. I hope you can find work soon.,0.0253,0.0833
"User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ",I can imagine that that must have been traumatic. You will make new friends though. ,"I am sorry to hear that. Childcare can be a real burden, especially when you are also dealing with your own problems. ",0.0208,0.2105
"User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ",I am a poor person too and I'd be happy to be your friend. We have to stick together! ,"I think that you are feeling guilty because you are being poor? I have been in that position too, but I am happy to admit it. ",0.124,0.2564
"User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ",No need to return anything but friendship.  Thanks for talking! ,I hope you feel better after talking about it. I am really glad I could help. ,0,0.0
"User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: ","No problem at all ... I've been there :( (genuinely, not just for the HIT)",You're very welcome. ,0,0.0
"User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ",Best wishes :) You need to press quit from your end though cos I can't do it from my end :) ,I hope you have a good day and keep on trying to make good friends,0.0207,0.0625
