context,target,generated_response,bleu-2,rouge-l,target_strategy,pred_strategy,strategy_match
"User: Hi

Assistant: ","Hi there, how are you feeling?"," Hello, how are you?",0.2476,0.4,[Question],[Others],0
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ",It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything?, That is not good to hear. Do you have any other problems? ,0.0236,0.1333,[Question],[Question],1
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ",Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?, I completely understand how you feel. I had to leave my job too. ,0.0179,0.1176,[Information],[Self-disclosure],0
"User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ",Are there any organisations that you could just call and explain your predicament to?, Yes it is. It's really difficult to find work at the moment. Do you have any family or friends who might be able to help you? ,0.0175,0.0513,[Providing Suggestions],[Others],0
"User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: ","Do you have friends who could help you, even with child care?", I think you should get some advice from a lawyer or counsellor about the job situation.,0.0204,0.0714,[Question],[Providing Suggestions],0
"User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ",I can imagine that that must have been traumatic. You will make new friends though., Are you able to pay her in cash? ,0,0.0,[Affirmation and Reassurance],[Question],0
"User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ",I am a poor person too and I'd be happy to be your friend. We have to stick together!, What do you think the root of the problem is? ,0,0.0,[Others],[Question],0
"User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ",No need to return anything but friendship.  Thanks for talking!, I hope you feel a little better now. ,0,0.0,[Self-disclosure],[Others],0
"User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: ","No problem at all ... I've been there :( (genuinely, not just for the HIT)", you're welcome :)  you need to quit first and I'll quit. ,0,0.0,[Self-disclosure],[Others],0
"User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ",Best wishes :) You need to press quit from your end though cos I can't do it from my end :), You're welcome.  I hope you have a great day and good luck! ,0.013,0.0667,[Providing Suggestions],[Others],0
Assistant: ,"Hi there, what is life like for you right now?"," Hi! How are you doing?
",0.026,0.1333,[Question],[Question],1
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: ",So you're worried about your studies? I will try to help if I can. Please tell me all you can., Is there anything in particular that you are anxious about?,0.0123,0.0714,[Restatement or Paraphrasing],[Question],0
