context,target,generated,bleu-2,rouge-l,extrema,ppl
"[Turn: 1] User: Hi

Assistant: ","Hi there, how are you feeling? ","Hi, how are you doing?
",44.8437301984003,54.54545404958678,90.576171875,2.7160511016845703
"[Turn: 2] User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ",It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? ,I am sorry to hear that. I know it can be difficult to get a job at the moment but there is hope! ,2.4349237677883697,10.25640975936886,92.041015625,6.661374092102051
"[Turn: 3] User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ",Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?,I see ... so you are having to take on extra work for free? ,2.2927497670594503,17.647058351211086,90.087890625,4.30483341217041
"[Turn: 4] User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ",Are there any organisations that you could just call and explain your predicament to?,I know that it can be very difficult as a single mother. Do you have any spare time at home that you could be using to work? ,10.675210253672473,21.05263111357342,91.30859375,11.68809986114502
"[Turn: 5] User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: ","Do you have friends who could help you, even with child care? ",I understand. You must be really stressed about this. ,0,0.0,87.744140625,9.4928560256958
"[Turn: 6] User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ",I can imagine that that must have been traumatic. You will make new friends though. ,I am sorry to hear that. Is there anyone else who could offer you support?,2.1821789023599236,13.333332833333353,90.72265625,10.61424732208252
"[Turn: 7] User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ",I am a poor person too and I'd be happy to be your friend. We have to stick together! ,I hear you. I have felt like that myself too. ,1.9165877561818996,22.222221755829917,90.380859375,9.139629364013672
"[Turn: 8] User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ",No need to return anything but friendship.  Thanks for talking! ,Is there anything else that I can help you with?,3.333333333333335,9.999999500000028,86.572265625,17.849042892456055
"[Turn: 9] User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: ","No problem at all ... I've been there :( (genuinely, not just for the HIT)",You're welcome! I hope you are able to find some help! ,0,0.0,89.404296875,32.6698112487793
"[Turn: 10] User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ",Best wishes :) You need to press quit from your end though cos I can't do it from my end :) ,I wish you the best of luck with everything! ,0.9823685325019429,7.407406962962989,85.9375,7.562661647796631
