context,target,generated_response,bleu-2,rouge-l
"User: Hi

Assistant: ","Hi there, how are you feeling?", Hello! How are you doing?,0.2589,0.3636
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ",It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything?, I am sorry to hear that. Do you have any family you can talk to? ,0.0253,0.125
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ",Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?, You do have some rights to get assistance with groceries and such from the government if you are in a difficult situation. ,0.0294,0.1364
"User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ",Are there any organisations that you could just call and explain your predicament to?, I know it's difficult but it's a lot better than nothing. Do you have any family you could get advice from?,0.0845,0.1818
"User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: ","Do you have friends who could help you, even with child care?", Do you have any other family members that might be able to help?,0.1961,0.24
"User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ",I can imagine that that must have been traumatic. You will make new friends though., I am so sorry to hear that. It sounds like you have been working hard to get through this. ,0.0937,0.2424
"User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ",I am a poor person too and I'd be happy to be your friend. We have to stick together!, I am sure that they will understand that you have been through a lot and that you are just trying to do your best to help your kids. ,0.1029,0.3415
"User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ",No need to return anything but friendship.  Thanks for talking!, I am not a great person. I am just a normal person who is trying to make it through life. ,0.0162,0.0741
"User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: ","No problem at all ... I've been there :( (genuinely, not just for the HIT)", I am so glad you can reach out and talk to someone. I am so grateful for you too. ,0.0171,0.0667
"User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ",Best wishes :) You need to press quit from your end though cos I can't do it from my end :)," You're welcome.  And I hope you can get a job in the food bank.  If you have a car, you can get free food from the local churches and churches nearby.  If you don't have a car, you can still find food banks and NGOs in your city.  You have to apply and get approved, but you can do it.  And you'll find it easier the more you apply and try to get approved. ",0.0114,0.2295
Assistant: ,"Hi there, what is life like for you right now?"," Hello, how are you?",0,0.0
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: ",So you're worried about your studies? I will try to help if I can. Please tell me all you can.," I am sorry to hear that, do you feel that you have a lot on your plate at the moment?",0.0324,0.1622
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: ",Are you finding that things are being made difficult because of the pandemic?, What kind of job are you trying to find? I am not familiar with the field you are studying. ,0.0342,0.129
"User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: ",I hear you. I think we're all really suffering at the moment. Are you getting any support?," I understand how that feels. I am in a similar situation, it's been very difficult. ",0.027,0.0667
"User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: ",What sort of thing do you want to go into when your studies are over?, I am so sorry to hear that. Do you have a support network at home? ,0.0309,0.1333
"User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: ",That is a really worth profession. Have you thought of doing some volunteer work before you graduate?, That's a great choice. Do you think that would be something you'd want to do while you're still young?,0.0242,0.1143
"User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: ",That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?, Do you think that is a good idea?,0.0516,0.2222
"Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: ",Don't put yourself under too much pressure if you are suffering yourself., Have you tried setting aside a specific time for your studies each day?,0.0253,0.0833
"Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: ",I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself., It's true that we need to look out for each other too. ,0.0191,0.1176
"User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: ",Is there anything else you'd like to tell me about how you're feeling right now?, Is there anyone else in your life that you could talk to about this? ,0.1543,0.3448
"User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: ",That sounds wonderful - is it the sort of job you were really looking for?, That's great news! Do you think that will help you feel a little better?,0.0218,0.0714
"User: It's good to hear I'm not alone in feeling this way

Assistant: Is there anything else you'd like to tell me about how you're feeling right now?
User: I got a job offer today, I'm very proud of myself!
Assistant: That sounds wonderful - is it the sort of job you were really looking for?
User: Sort of. It's an opportunity to work for one of my favorite professors over the summer. I'm still going to work on that suicide hotline job as well

Assistant: ",Don't over extend yourself though. Make sure to give yourself plenty of you time., That sounds like a great opportunity to make your life even better. I wonder if you'd like to tell me a little more about what the job is like?,0.0111,0.0513
