context,target,generated,bleu-2,rouge-l,extrema,ppl
"User: Hi

Assistant: ","Hi there, how are you feeling? ","Hello! How are you today?
",25.890539701513365,36.36363586776859,85.3515625,2.6585776805877686
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ",It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? ,I am sorry to hear that. I would like to offer some suggestions. ,1.723460608610075,6.6666661866667,89.306640625,6.969311714172363
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ",Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?,I can definitely understand that. I have been out of work for over a year and have struggled to find anything. ,2.942555486189178,19.51219462224868,93.115234375,4.59853458404541
"User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ",Are there any organisations that you could just call and explain your predicament to?,I can see how that would be hard. Do you know that there are agencies that can help you get food and clothing?,2.8116077855776673,24.242423753902674,91.845703125,11.678654670715332
"User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: ","Do you have friends who could help you, even with child care? ","I hear you. I've been through a bad time in my life too. I am not going to say it was easy, but I was able to get through it and now I have a better life. ",0.8664587415167273,9.756097146936366,91.015625,9.397491455078125
"User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ",I can imagine that that must have been traumatic. You will make new friends though. ,I hope that you can get some support from her. I hope that things will improve for you soon. ,3.823595564509362,25.806451113423527,93.1640625,11.04509162902832
"User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ",I am a poor person too and I'd be happy to be your friend. We have to stick together! ,I can see how that would make you feel. You seem to have a very kind heart though and I think you will find new friends. ,2.7735009811261455,19.047618565759652,94.3359375,8.944625854492188
"User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ",No need to return anything but friendship.  Thanks for talking! ,I don't think that you should have to give anything back. ,4.26401432711221,18.181817685950424,91.259765625,21.094451904296875
"User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: ","No problem at all ... I've been there :( (genuinely, not just for the HIT)",I am happy to help! ,0,0.0,82.373046875,32.058441162109375
"User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ",Best wishes :) You need to press quit from your end though cos I can't do it from my end :) ,I am glad I could help. ,0.47391796051938034,8.33333295833335,84.27734375,7.938518047332764
Assistant: ,"Hi there, what is life like for you right now?","Hello, how are you today?",2.6013004751144453,13.333332888888904,86.42578125,5.730391025543213
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: ",So you're worried about your studies? I will try to help if I can. Please tell me all you can. ,"Ah, I am sorry to hear that. What are you particularly anxious about?",2.5594547351905352,18.749999517578136,92.138671875,7.300248622894287
"Assistant: Hi there, what is life like for you right now?
User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: ",Are you finding that things are being made difficult because of the pandemic?,"I am sorry to hear that. So you are in a stressful situation, I can understand that. ",2.7116307227332026,20.689654677764576,87.109375,10.319779396057129
"User: Pretty stressful. I'm a little bit anxious about school.
Assistant: So you're worried about your studies? I will try to help if I can. Please tell me all you can. 
User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: ",I hear you. I think we're all really suffering at the moment. Are you getting any support?,I can totally understand that. I have been having to learn how to do things on my own. I've had to be more self-reliant. ,1.9034674690672018,5.405404923301723,92.333984375,6.099891185760498
"User: Thank you. I am finishing up my third year in college so I have some career decisions to make. I'm also trying to find a job for this summer related to what I want to study.
Assistant: Are you finding that things are being made difficult because of the pandemic?
User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: ",What sort of thing do you want to go into when your studies are over?,"Well, there is always help available if you're feeling down. I hope I've been able to help a little. ",1.7099639201419234,5.882352448096927,89.306640625,6.254242897033691
"User: Yes. Most of my classes are online. I really miss my friends and family.
Assistant: I hear you. I think we're all really suffering at the moment. Are you getting any support?
User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: ",That is a really worth profession. Have you thought of doing some volunteer work before you graduate?,"Thats a great choice, good for you. ",1.1693773197286033,16.666666222222233,87.353515625,8.708040237426758
"User: I do live with three of my friends so it's nice to have their support. I'm glad I'm not alone

Assistant: What sort of thing do you want to go into when your studies are over?
User: I'm studying psychology, I want to become a therapist or social worker
Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: ",That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?,That is a really great idea. Is there anything else you would like to talk about?,10.054274876162822,22.857142360816336,93.84765625,10.512330055236816
"Assistant: That is a really worth profession. Have you thought of doing some volunteer work before you graduate?
User: Yes! I am trying to get a job at a suicide hotline for the summer
Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: ",Don't put yourself under too much pressure if you are suffering yourself. ,Have you talked to your parents about it? I know that they might be willing to pay you to help out while you are in school.,5.547001962252292,11.764705425605555,91.2109375,25.81182861328125
"Assistant: That is an awesome thing to do though it could be very mentally draining. Do you feel up to it?
User: I know I'm up to it, but this week I've been having a hard time

User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: ",I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. ,It is very hard when you are struggling to stay motivated. ,1.012809716118558,11.764705425605555,89.453125,10.847428321838379
"User: Just struggling to stay motivated in school

Assistant: Don't put yourself under too much pressure if you are suffering yourself. 
User: I try not to. Sometimes it's hard to put myself first

Assistant: I think a lot of people who work helping other people have that sort of problem - it's too easy to neglect yourself. 
User: It's good to hear I'm not alone in feeling this way

Assistant: ",Is there anything else you'd like to tell me about how you're feeling right now?,"Yes, I can understand how it might be frustrating to feel that you aren't getting the help you need. ",2.4182541670333726,5.882352448096927,90.13671875,3.9121079444885254
