context,target,generated,bleu-2,rouge-l,extrema,ppl
"User: Hi

Assistant: "," Hi there, how are you feeling? "," Hello, how are you doing today?",44.721359549995796,49.99999950000001,89.0625,2.502338171005249
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ", It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? , I'm sorry to hear that.  What sort of jobs are you looking for? ,2.4373413669121566,12.903225319458917,88.96484375,8.016443252563477
"User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ", Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?, You should be able to get some help from the government. Are you aware of that? ,15.368255475834186,32.43243194156319,94.43359375,5.036559581756592
"User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ", Are there any organisations that you could just call and explain your predicament to?, It can be really difficult to search for food banks. I think you just have to press on with finding a job and maybe you'll get the necessary help out of it? ,1.73902085910063,13.33333290469137,90.869140625,12.56666088104248
"User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: "," Do you have friends who could help you, even with child care? ", It sounds like you're feeling really stressed. Do you have any family that you could confide in?,17.149858514250884,28.57142808163266,91.6015625,9.898172378540039
"User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ", I can imagine that that must have been traumatic. You will make new friends though. , That's really good to hear. It sounds like you have been through a very rough patch and are trying to get back on your feet. ,5.773502691896258,14.999999531250015,91.455078125,14.29766845703125
"User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ", I am a poor person too and I'd be happy to be your friend. We have to stick together! ," Well, it is not just poor people who have a hard time. ",2.6603281748797536,13.333332842222239,91.357421875,9.777887344360352
"User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ", No need to return anything but friendship.  Thanks for talking! , I would be happy to be your friend too! I am very happy to be a friend to you. ,1.7099639201419234,8.695651682419687,91.162109375,21.063072204589844
"User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: "," No problem at all ... I've been there :( (genuinely, not just for the HIT)", You are welcome! I hope you are feeling better now. ,0,0.0,87.40234375,32.65473175048828
"User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ", Best wishes :) You need to press quit from your end though cos I can't do it from my end :) ," No problem, you're more than welcome.  Keep up the good work.",0,0.0,88.916015625,6.831677436828613
