context,target,generated,bleu-2,rouge-l,extrema,ppl
"[Turn: 1] User: Hi

Assistant: "," Hi there, how are you feeling? ", Hello! How are you feeling?,44.8437301984003,54.54545404958678,89.35546875,2.398674964904785
"[Turn: 2] User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ", It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? , Oh no! I'm sorry to hear that. ,1.0137073549418278,7.692307266272212,87.060546875,8.391711235046387
"[Turn: 3] User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ", Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?," Oh wow, that is very difficult. You have a lot on your plate with the kids. ",8.872866435947808,21.052631084487544,91.064453125,4.680327415466309
"[Turn: 4] User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ", Are there any organisations that you could just call and explain your predicament to?, Is there any possibility of you finding a job through any of your exes or friends?,12.909944487358057,28.571428071428578,88.76953125,12.696008682250977
"[Turn: 5] User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: "," Do you have friends who could help you, even with child care? ", You might be able to apply for help from your local Citizen's Advice Bureau. ,2.344036154692477,7.407406913580279,90.087890625,9.969925880432129
"[Turn: 6] User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ", I can imagine that that must have been traumatic. You will make new friends though. , I am really sorry to hear that. I hope you can get your life together somehow. ,2.8867513459481287,25.806451113423527,91.748046875,13.56042766571045
"[Turn: 7] User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ", I am a poor person too and I'd be happy to be your friend. We have to stick together! ," I think that it is not about being poor, but about being unable to make a choice that you feel is right. ",2.5482359571881283,11.111110612654343,93.017578125,9.224936485290527
"[Turn: 8] User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ", No need to return anything but friendship.  Thanks for talking! , I am glad that you have someone to talk to. I am sure you will be able to find a new friend. ,1.4712247158412497,7.1428566836735,91.455078125,21.49917221069336
"[Turn: 9] User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: "," No problem at all ... I've been there :( (genuinely, not just for the HIT)", I am glad to hear you have tried to find food and it will help you to be a better person. ,0,0.0,89.306640625,31.968711853027344
"[Turn: 10] User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ", Best wishes :) You need to press quit from your end though cos I can't do it from my end :) , You're welcome!  Best of luck to you and have a wonderful rest of the week!  (you need to quit first and I can't :)),14.744195615489714,30.76923027218935,91.748046875,6.224236965179443
