context,target,generated,bleu-2,rouge-l,extrema,ppl,target_strategy,pred_strategy
"[Turn: 1] User: Hi

Assistant: "," Hi there, how are you feeling? "," Hello, how are you doing?",44.8437301984003,54.54545404958678,89.794921875,-,[Question],[Question]
"[Turn: 2] User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: ", It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? ," It sounds like you're having some difficulty in finding a job, is that correct? ",2.4911229693527606,6.249999507812539,92.919921875,-,[Question],[Restatement or Paraphrasing]
"[Turn: 3] User: Hi

Assistant: Hi there, how are you feeling? 
User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: ", Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?, I think it's great that you're working on getting new work but it's really tough at the moment isn't it? ,1.467840118460832,4.99999950125005,89.306640625,-,[Information],[Affirmation and Reassurance]
"[Turn: 4] User: Not feeling good. Trying to find a job but no success

Assistant: It's a really hard time to be finding new work isn't it? Are you getting unemployment or anything? 
User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: ", Are there any organisations that you could just call and explain your predicament to?, I know it can be really hard but you are not alone in this. ,2.344036154692477,6.896551224732497,87.79296875,-,[Providing Suggestions],[Others]
"[Turn: 5] User: I am getting unemployment but that is not sufficient with 6 children. 
Assistant: Wow that's a lot of kids. Do you know that there are foodbanks out there which might be able to help you?
User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: "," Do you have friends who could help you, even with child care? ", I think that you might be able to contact a Citizen's Advice Bureau for free advice.,2.0412414523193148,7.142856653061259,88.427734375,-,[Question],[Providing Suggestions]
"[Turn: 6] User: As a single mother It's pretty hard to go to search for food bank. I am spending most of my time in looking for a job.

Assistant: Are there any organisations that you could just call and explain your predicament to?
User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: ", I can imagine that that must have been traumatic. You will make new friends though. , What about online jobs?,0,0.0,79.833984375,-,[Affirmation and Reassurance],[Question]
"[Turn: 7] User: I don't know any as I never faced such situation before and my partner was there to support the family. Now there is no support of him. life is becoming misearable.
Assistant: Do you have friends who could help you, even with child care? 
User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: ", I am a poor person too and I'd be happy to be your friend. We have to stick together! ," You could perhaps try to take a little holiday for yourself, even if it's just a day or two. ",2.4182541670333726,5.55555505709881,92.87109375,-,[Others],[Providing Suggestions]
"[Turn: 8] User: One of my friends was really helpful. She moved to different city last month. After that I am totally shattered.
Assistant: I can imagine that that must have been traumatic. You will make new friends though. 
User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: ", No need to return anything but friendship.  Thanks for talking! , I'm sure you will have plenty to give in the future. You just have to find someone to talk to. ,1.6222142113076252,7.40740694101512,91.650390625,-,[Self-disclosure],[Providing Suggestions]
"[Turn: 9] User: Life is becoming hard day by day. I am feeling guilty that I can't feed my kids well. No one wants to do friendship with poor people.

Assistant: I am a poor person too and I'd be happy to be your friend. We have to stick together! 
User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: "," No problem at all ... I've been there :( (genuinely, not just for the HIT)", You are very welcome.  I hope you feel better now.  I am glad you reached out and let me help you.,0,0.0,89.94140625,-,[Self-disclosure],[Others]
"[Turn: 10] User: Thank you so much for all your support. You will be a  great person for sure. I would like to be your friend but I have nothing to return. 
Assistant: No need to return anything but friendship.  Thanks for talking! 
User: I would try to search near by food bank or NGOs as you suggested . Thank you so much for all you help.
Assistant: No problem at all ... I've been there :( (genuinely, not just for the HIT)
User: Your words are motivational and it gave me positivity to move forward.
Assistant: ", Best wishes :) You need to press quit from your end though cos I can't do it from my end :) , You're welcome.  I hope you're able to get back to work soon and get to do things you enjoy.,2.665829476476855,11.764705384083065,91.259765625,-,[Providing Suggestions],[Providing Suggestions]
